     1     -1     33 1.000000E-01 1.080490E+00 4.821819E-01 8.512000E+00 0.000000E+00
     2     -1      7 1.000000E-01 0.000000E+00 2.010000E-01 1.555600E+01 0.000000E+00
     3     -1     43 1.000000E-01 6.641440E-02 1.345856E-01 5.710000E+00 0.000000E+00
     4     -1     57 1.000000E-01 2.091454E-01 5.301190E-02 3.688000E+00 0.000000E+00
     5     -1     52 1.000000E-01 1.600798E+00 7.384527E-01 8.739000E+00 0.000000E+00
     6     -1     35 1.000000E-01 9.866668E-01 4.359702E-01 4.406000E+00 0.000000E+00
     7     -1     30 1.000000E-01 2.941478E+00 1.398788E+00 1.407000E+00 0.000000E+00
     8     -1     49 1.000000E-01 0.000000E+00 2.010000E-01 4.837000E+00 0.000000E+00
     9     -1     40 1.000000E-01 2.710906E+00 1.285222E+00 2.288000E+00 0.000000E+00
    10     -1     63 1.000000E-01 0.000000E+00 2.010000E-01 2.637000E+00 0.000000E+00
    11     -1      6 1.000000E-01 1.667475E+00 7.712934E-01 5.508000E+00 0.000000E+00
    12     -1     20 1.000000E-01 0.000000E+00 2.010000E-01 1.003100E+01 0.000000E+00
    13     -1     10 1.000000E-01 1.020568E+00 4.526676E-01 2.032300E+01 0.000000E+00
    14     -1      3 1.000000E-01 2.451457E+00 1.157434E+00 2.094400E+01 0.000000E+00
    15     -1     62 1.000000E-01 2.258340E+00 1.062317E+00 2.256000E+00 0.000000E+00
    16     -1     58 1.000000E-01 0.000000E+00 2.010000E-01 3.956000E+00 0.000000E+00
    17     -1     45 1.000000E-01 2.506877E+00 1.184731E+00 3.900000E+00 0.000000E+00
    18     -1     34 1.000000E-01 4.069356E-01 1.504310E-01 1.012500E+01 0.000000E+00
    19     -1     39 1.000000E-01 2.903193E+00 1.379931E+00 4.400000E-02 0.000000E+00
    20     -1      9 1.000000E-01 2.304368E+00 1.084987E+00 2.543000E+01 0.000000E+00
    21     -1     26 1.000000E-01 1.391964E+00 6.355942E-01 1.121000E+01 0.000000E+00
    22     -1     28 1.000000E-01 6.943576E-02 1.315642E-01 8.656000E+00 0.000000E+00
    23     -1     36 1.000000E-01 2.425970E+00 1.144881E+00 1.109000E+01 0.000000E+00
    24     -1     54 1.000000E-01 1.873254E+00 8.726475E-01 2.300000E-02 0.000000E+00
    25     -1     17 1.000000E-01 3.440420E-02 1.665958E-01 1.609900E+01 0.000000E+00
    26     -1     92 1.000000E-01 0.000000E+00 2.010000E-01 9.970000E-01 0.000000E+00
    27     -1      4 1.000000E-01 1.242810E+00 5.621303E-01 1.372500E+01 0.000000E+00
    28     -1     91 1.000000E-01 0.000000E+00 2.010000E-01 7.170000E-01 0.000000E+00
    29     -1     86 1.000000E-01 9.292963E-01 4.077131E-01 9.150000E-01 0.000000E+00
